LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,good_credit
450000.0,Male,Graduate_school,Single,36,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,Male,University,Single,32,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,50342.0,44659.0,40893.0,-45.0,-45.0,0.0,8025.0,5023.0,0.0,0.0,5250.0,0.0,1
50000.0,Male,Graduate_school,Single,29,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,759.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,1
10000.0,Male,University,Single,23,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,8638.0,8958.0,9414.0,9344.0,9545.0,9586.0,1294.0,1150.0,480.0,500.0,348.0,402.0,1
300000.0,Male,Graduate_school,Married,47,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,0.0,225.0,4019.0,4509.0,7155.0,5778.0,225.0,4019.0,3860.0,5000.0,5778.0,23978.0,1
190000.0,Male,Graduate_school,Single,25,Pay_duly,Pay_duly,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,3173.0,5270.0,5040.0,6050.0,6447.0,7339.0,2323.0,0.0,1103.0,500.0,1000.0,400.0,1
230000.0,Female,Graduate_school,Single,53,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,0.0,742.0,0.0,0.0,596.0,4870.0,742.0,0.0,0.0,596.0,4870.0,0.0,1
70000.0,Female,Graduate_school,Single,29,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,43462.0,41845.0,40476.0,43687.0,43858.0,48127.0,3000.0,3000.0,7000.0,10000.0,15000.0,1000.0,1
110000.0,Female,University,Married,38,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,4976.0,2532.0,3102.0,1979.0,690.0,1042.0,2532.0,3102.0,1979.0,690.0,1042.0,8420.0,1
50000.0,Male,Graduate_school,Married,49,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,27231.0,26500.0,27533.0,28569.0,28901.0,31095.0,0.0,1764.0,3400.0,1100.0,2660.0,0.0,0
320000.0,Female,Graduate_school,Single,27,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,19950.0,24544.0,31236.0,66091.0,5800.0,5800.0,5000.0,10000.0,36091.0,5800.0,0.0,464.0,1
10000.0,Male,University,Married,45,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_duly,7953.0,9164.0,8876.0,10009.0,7169.0,8842.0,1500.0,0.0,1500.0,0.0,3000.0,2000.0,1
50000.0,Male,University,Married,43,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,50562.0,55032.0,50688.0,49739.0,18888.0,19290.0,6500.0,2112.0,1400.0,700.0,700.0,800.0,1
260000.0,Female,Graduate_school,Married,48,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,8339.0,8333.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,1
280000.0,Female,University,Married,39,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,-1312.0,35918.0,37297.0,37154.0,32581.0,33316.0,38621.0,2000.0,1130.0,922.0,1011.0,5000.0,0
500000.0,Female,High_school,Married,38,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,-40.0,-40.0,-40.0,-40.0,7980.0,20603.0,0.0,0.0,0.0,8020.0,20706.0,36759.0,1
140000.0,Female,University,Married,32,Pay_duly,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,739.0,739.0,-200.0,8700.0,1367.0,1367.0,0.0,0.0,8900.0,1367.0,0.0,0.0,0
200000.0,Male,University,Married,31,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,6926.0,1747.0,642.0,0.0,0.0,0.0,1747.0,642.0,0.0,0.0,0.0,500.0,1
20000.0,Female,University,Single,22,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,15706.0,15757.0,15436.0,16331.0,10229.0,10250.0,1000.0,1000.0,1200.0,900.0,700.0,2300.0,0
30000.0,Male,University,Single,28,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0
30000.0,Male,Graduate_school,Single,25,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,19041.0,20232.0,21293.0,22040.0,22786.0,23410.0,1500.0,1400.0,1100.0,1100.0,1003.0,2000.0,0
30000.0,Female,Graduate_school,Single,27,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,3415.0,4330.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1
10000.0,Female,Graduate_school,Single,26,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,9459.0,231.0,3364.0,6129.0,9009.0,9188.0,231.0,5000.0,3000.0,3000.0,329.0,340.0,1
240000.0,Male,Graduate_school,Single,35,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,11906.0,54684.0,1874.0,1151.0,23169.0,9372.0,55167.0,1874.0,1151.0,23169.0,9372.0,396.0,1
50000.0,Male,High_school,Single,48,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,79681.0,79989.0,76394.0,24873.0,-2132.0,28561.0,3200.0,2581.0,1200.0,2070.0,31500.0,1200.0,1
30000.0,Male,Graduate_school,Single,27,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,27159.0,27577.0,28838.0,28085.0,28428.0,29430.0,1500.0,1749.0,1200.0,1100.0,1465.0,1386.0,1
110000.0,Female,University,Married,42,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,776.0,776.0,776.0,776.0,926.0,776.0,776.0,776.0,776.0,926.0,776.0,776.0,1
360000.0,Female,Graduate_school,Single,31,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,3429.0,33535.0,2441.0,5681.0,65816.0,17577.0,33702.0,2453.0,5710.0,66145.0,17589.0,8050.0,1
210000.0,Female,Graduate_school,Single,37,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,430.0,1570.0,17036.0,73158.0,46823.0,1427.0,1570.0,17036.0,73158.0,936.0,29.0,630.0,1
50000.0,Male,High_school,Married,28,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,49468.0,49896.0,51057.0,49496.0,50688.0,50517.0,1900.0,2004.0,1900.0,2001.0,2200.0,2001.0,1
60000.0,Male,University,Single,25,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,56598.0,47311.0,25227.0,26039.0,27493.0,26416.0,3000.0,2000.0,1500.0,2000.0,1500.0,1500.0,1
50000.0,Female,Graduate_school,Single,27,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,0.0,45000.0,1000.0,4874.0,5374.0,5874.0,45000.0,1000.0,4874.0,500.0,500.0,0.0,0
50000.0,Female,High_school,Married,42,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_delay>=1,44961.0,48164.0,38684.0,41034.0,43597.0,42743.0,4000.0,0.0,3000.0,3228.0,0.0,4000.0,0
110000.0,Male,University,Married,30,Pay_delay>=1,Pay_duly,Pay_duly,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,54404.0,57503.0,66128.0,64477.0,65413.0,66520.0,4000.0,9600.0,0.0,2600.0,2300.0,3000.0,0
30000.0,Male,University,Married,47,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_delay>=1,Pay_delay>=1,15148.0,14620.0,15322.0,16469.0,16063.0,17295.0,0.0,1253.0,1400.0,0.0,1500.0,0.0,1
70000.0,Female,Graduate_school,Single,23,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,7531.0,8545.0,9588.0,10900.0,46462.0,47599.0,1145.0,1188.0,1500.0,36000.0,2000.0,1668.0,0
60000.0,Male,University,Single,42,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,99114.0,97895.0,94204.0,95986.0,13529.0,16099.0,3700.0,3000.0,4000.0,1500.0,3250.0,1000.0,1
60000.0,Female,University,Single,57,Pay_duly,Pay_duly,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,44041.0,46810.0,45781.0,48814.0,49802.0,51034.0,3810.0,0.0,3814.0,1802.0,2034.0,4459.0,0
140000.0,Female,Graduate_school,Single,27,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,142428.0,144105.0,143952.0,142590.0,142650.0,142620.0,10000.0,10000.0,6000.0,6000.0,6000.0,5600.0,1
50000.0,Female,University,Single,23,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,7181.0,6908.0,5187.0,4643.0,3385.0,1839.0,0.0,0.0,1022.0,237.0,100.0,50.0,1
500000.0,Male,High_school,Married,53,Pay_duly,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,5008.0,546.0,-4.0,-4.0,1319.0,2977.0,1.0,0.0,0.0,1323.0,3000.0,8.0,1
60000.0,Female,High_school,Married,59,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,59174.0,60922.0,61800.0,0.0,51301.0,52327.0,3298.0,3000.0,0.0,51301.0,2029.0,2083.0,1
200000.0,Female,Graduate_school,Married,35,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,2257.0,4261.0,1265.0,2473.0,0.0,0.0,4266.0,1667.0,2473.0,0.0,0.0,0.0,1
20000.0,Male,High_school,Single,26,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,14081.0,15835.0,16985.0,19985.0,9421.0,9764.0,2000.0,2000.0,3000.0,1000.0,500.0,1000.0,0
